TYPE,ADDRESS,CITY,DATE,TIME
Aggravated assault,3700  Hialeah Ct,Baldwinsville,11/25/17,12:00 AM
Aggravated assault,100  E  Water St,Syracuse,7/23/17,12:00 AM
Burglary,1200  Harrison St,Syracuse,1/29/18,12:00 AM
Burglary,200  N  Edwards Av,Syracuse,12/16/17,12:00 AM
Burglary,300  N  Beech St,Syracuse,12/7/17,12:00 AM
Burglary,0  Presidential Ct,Syracuse,10/6/17,12:00 AM
Burglary,4000  New Court Av,Syracuse,9/18/17,12:00 AM
Burglary,7300  Oswego Rd,Liverpool,9/16/17,12:00 AM
Burglary,100  W  Calthrop Av,Syracuse,9/15/17,12:00 AM
Burglary,0  Reddick Dr,Syracuse,8/24/17,12:00 AM
Burglary,0  Presidential Plz,Syracuse,8/23/17,12:00 AM
Burglary,800  Lancaster Av,Syracuse,8/22/17,12:00 AM
Burglary,200  Bryant Av,Syracuse,6/20/17,12:00 AM
Larceny,600  S  Wilbur Av,Syracuse,3/13/18,12:00 AM
Larceny,800  Ostrom Av,Syracuse,3/11/18,12:00 AM
Larceny,800  E  Brighton Av,Syracuse,3/7/18,12:00 AM
Larceny,400  Vann St,Syracuse,3/7/18,12:00 AM
Larceny,1300  W  Onondaga St,Syracuse,2/27/18,12:00 AM
Larceny,600  Westmoreland Av,Syracuse,2/1/18,12:00 AM
Larceny,600  James St,Syracuse,1/30/18,12:00 AM
Larceny,300  Apple St,Syracuse,1/15/18,12:00 AM
Larceny,100  Wiman Av,Syracuse,1/6/18,12:00 AM
Larceny,400  Griffiths St,Syracuse,1/4/18,12:00 AM
Larceny,500  Tompkins St,Syracuse,1/3/18,12:00 AM
Larceny,1200  S  Glencove Rd,Syracuse,1/3/18,12:00 AM
Larceny,500  Lynch Av,Syracuse,12/17/17,12:00 AM
Larceny,4100  S  Salina St,Syracuse,12/17/17,12:00 AM
Larceny,100  Evelyn Dr,Syracuse,12/15/17,12:00 AM
Larceny,800  S  West St,Syracuse,12/11/17,12:00 AM
Larceny,300  Barrington Rd,Syracuse,12/5/17,12:00 AM
Larceny,200  Warham St,Syracuse,12/2/17,12:00 AM
Larceny,4000  Route 31,Liverpool,12/1/17,12:00 AM
Larceny,8000  Oswego Rd,Liverpool,12/1/17,12:00 AM
Larceny,2500  James St,Syracuse,12/1/17,12:00 AM
Larceny,100  Kinne St,East Syracuse,11/25/17,12:00 AM
Larceny,300  Hamilton St,Syracuse,11/25/17,12:00 AM
Larceny,300  S  Beech St,Syracuse,11/24/17,12:00 AM
Larceny,100  W  Corning Av,Syracuse,11/21/17,12:00 AM
Larceny,800  N  Clinton St,Syracuse,11/20/17,12:00 AM
Larceny,1000  S  Clinton St,Syracuse,11/18/17,12:00 AM
Larceny,200  Caroline Av,Syracuse,11/17/17,12:00 AM
Larceny,900  James St,Syracuse,11/15/17,12:00 AM
Larceny,200  Lathrop Rd,Syracuse,11/13/17,12:00 AM
Larceny,1600  W High Ter,Syracuse,11/3/17,12:00 AM
Larceny,200  Harding St,Syracuse,10/30/17,12:00 AM
Larceny,100  Gemini Pl,Syracuse,10/19/17,12:00 AM
Larceny,100  Stillwell Cir,East Syracuse,10/17/17,12:00 AM
Larceny,100  Mcallister Av,Syracuse,10/14/17,12:00 AM
Larceny,600  Ash St,Syracuse,10/10/17,12:00 AM
Larceny,200  8Th Av,Syracuse,10/10/17,12:00 AM
